ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0019867	outer membrane	1/36	66/15890	0.0151515151515152	6.68771043771044	2.20638560246694	0.13929634135385	0.324328036971215	0.294308563494751	mcl1b	1
GO:0031968	organelle outer membrane	1/36	66/15890	0.0151515151515152	6.68771043771044	2.20638560246694	0.13929634135385	0.324328036971215	0.294308563494751	mcl1b	1
GO:0070603	SWI/SNF superfamily-type complex	1/36	67/15890	0.0149253731343284	6.58789386401327	2.18409357785677	0.141254463934187	0.324328036971215	0.294308563494751	smarcd1	1
GO:0030018	Z disc	1/36	71/15890	0.0140845070422535	6.21674491392801	2.09927516804673	0.149043734151855	0.324328036971215	0.294308563494751	zmp:0000000930	1
GO:0031674	I band	1/36	71/15890	0.0140845070422535	6.21674491392801	2.09927516804673	0.149043734151855	0.324328036971215	0.294308563494751	zmp:0000000930	1
GO:0005770	late endosome	1/36	72/15890	0.0138888888888889	6.1304012345679	2.07908334785842	0.150980293072807	0.324328036971215	0.294308563494751	chmp5a	1
GO:0036464	cytoplasmic ribonucleoprotein granule	1/36	88/15890	0.0113636363636364	5.01578282828283	1.80005440577498	0.181388698600155	0.333253772867315	0.302408142347836	si:ch211-214j24.10	1
GO:0031252	cell leading edge	1/36	90/15890	0.0111111111111111	4.90432098765432	1.7699798918785	0.185114476107529	0.333253772867315	0.302408142347836	LOC103143142	1
GO:1904949	ATPase complex	1/36	94/15890	0.0106382978723404	4.69562647754137	1.71241309480351	0.192516637036977	0.333253772867315	0.302408142347836	smarcd1	1
GO:0035770	ribonucleoprotein granule	1/36	95/15890	0.0105263157894737	4.64619883040936	1.69852694548065	0.194356938446616	0.333253772867315	0.302408142347836	si:ch211-214j24.10	1
GO:0030017	sarcomere	1/36	102/15890	0.00980392156862745	4.32734204793028	1.60643841619571	0.20712535722184	0.333253772867315	0.302408142347836	zmp:0000000930	1
GO:0009986	cell surface	2/36	380/15890	0.00526315789473684	2.32309941520468	1.24396592109799	0.212547604502538	0.333253772867315	0.302408142347836	itga3b/LOC103138244	2
GO:0005635	nuclear envelope	1/36	108/15890	0.00925925925925926	4.0869341563786	1.53386921216348	0.217912944302267	0.333253772867315	0.302408142347836	sun1b	1
GO:0005774	vacuolar membrane	1/36	108/15890	0.00925925925925926	4.0869341563786	1.53386921216348	0.217912944302267	0.333253772867315	0.302408142347836	stx17	1
GO:0098552	side of membrane	2/36	387/15890	0.00516795865633075	2.28107952914154	1.21577667327634	0.218391485053638	0.333253772867315	0.302408142347836	itga3b/LOC103138244	2
GO:0031967	organelle envelope	2/36	389/15890	0.0051413881748072	2.26935161382462	1.20783326957306	0.220064197598921	0.333253772867315	0.302408142347836	sun1b/mcl1b	2
GO:0032993	protein-DNA complex	1/36	112/15890	0.00892857142857143	3.94097222222222	1.48834654629362	0.225025250065881	0.333253772867315	0.302408142347836	cdc45	1
GO:0030016	myofibril	1/36	115/15890	0.00869565217391304	3.83816425120773	1.45556588324307	0.230318172536515	0.333253772867315	0.302408142347836	zmp:0000000930	1
GO:0005654	nucleoplasm	2/36	407/15890	0.00491400491400491	2.16898716898717	1.13843829968049	0.235170341160899	0.333253772867315	0.302408142347836	cdc45/si:ch211-214j24.10	2
GO:0043292	contractile muscle fiber	1/36	118/15890	0.00847457627118644	3.74058380414313	1.42387154907187	0.235575942888964	0.333253772867315	0.302408142347836	zmp:0000000930	1
GO:0098802	plasma membrane signaling receptor complex	1/36	133/15890	0.0075187969924812	3.3187134502924	1.27957645504246	0.261345402382996	0.360905555671756	0.327500504239343	itga3b	1
GO:0005938	cell cortex	1/36	159/15890	0.00628930817610063	2.77603074772886	1.07250909288984	0.304025511337543	0.410080922269244	0.372124248883162	LOC103143092	1
GO:0030425	dendrite	1/36	176/15890	0.00568181818181818	2.50789141414141	0.958546385407365	0.330624958492343	0.426138835390131	0.386695857885781	LOC103143092	1
GO:0097447	dendritic tree	1/36	176/15890	0.00568181818181818	2.50789141414141	0.958546385407365	0.330624958492343	0.426138835390131	0.386695857885781	LOC103143092	1
GO:0036477	somatodendritic compartment	1/36	224/15890	0.00446428571428571	1.97048611111111	0.697050717390193	0.400505050857327	0.504984629341847	0.458243765282983	LOC103143092	1
GO:0005773	vacuole	1/36	237/15890	0.00421940928270042	1.8624003750586	0.637403469485695	0.418175947486541	0.516046913919562	0.46828213604316	stx17	1
GO:0031966	mitochondrial membrane	1/36	248/15890	0.00403225806451613	1.77979390681004	0.58977945929085	0.432731814612915	0.522884275990605	0.47448663882995	mcl1b	1
GO:0005740	mitochondrial envelope	1/36	281/15890	0.00355871886120996	1.5707789640174	0.460006199274725	0.474307044758964	0.561424665224896	0.509459768806621	mcl1b	1
GO:0000785	chromatin	1/36	293/15890	0.00341296928327645	1.5064467197573	0.416943437509724	0.488678156817404	0.566866661908189	0.514398059807794	smarcd1	1
GO:0098794	postsynapse	1/36	304/15890	0.00328947368421053	1.45193713450292	0.379120780236162	0.501515639410854	0.567045094605553	0.514559976956037	LOC103143092	1
GO:0043235	receptor complex	1/36	310/15890	0.0032258064516129	1.42383512544803	0.359107249333209	0.508385257232565	0.567045094605553	0.514559976956037	itga3b	1
GO:0005768	endosome	1/36	323/15890	0.00309597523219814	1.36652906776746	0.317129999391219	0.52295515711422	0.572290549294806	0.519319917690387	chmp5a	1
GO:0005911	cell-cell junction	1/36	350/15890	0.00285714285714286	1.26111111111111	0.235376973175553	0.55188670710987	0.592767203932824	0.537901273986228	mpp2b	1
GO:0099081	supramolecular polymer	1/36	389/15890	0.0025706940874036	1.13467580691231	0.128148826868518	0.590685879880045	0.611781804161475	0.555155902142899	zmp:0000000930	1
GO:0099512	supramolecular fiber	1/36	389/15890	0.0025706940874036	1.13467580691231	0.128148826868518	0.590685879880045	0.611781804161475	0.555155902142899	zmp:0000000930	1
GO:0070161	anchoring junction	1/36	407/15890	0.00245700245700246	1.08449358449358	0.082285533337485	0.607472140539986	0.618129546514372	0.560916103915038	mpp2b	1
GO:1990904	ribonucleoprotein complex	1/36	496/15890	0.00201612903225806	0.889896953405018	-0.118711977455811	0.681112551015326	0.681112551015326	0.618069465531149	smg6	1
